iter	Passed	Remaining
0	1	108
1	2	102
2	3	97
3	3	90
4	4	89
5	5	89
6	6	88
7	7	87
8	8	87
9	9	86
10	10	84
11	11	83
12	12	82
13	13	81
14	14	80
15	15	80
16	16	79
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	74
24	24	73
25	25	72
26	26	70
27	27	69
28	28	68
29	29	67
30	30	66
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	55
42	41	54
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	57	38
60	58	37
61	60	36
62	60	35
63	61	34
64	63	33
65	63	32
66	64	32
67	65	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	96	1
98	96	0
99	97	0
